name,tourism,email,phone,website,coordinates
Lion statue,attraction,NULL,NULL,NULL,POINT(85.42898 27.6721039)
Tallest Statue of Shiva,attraction,NULL,NULL,NULL,POINT(85.4742062 27.6460823)
Statue of Sleeping Narayan,attraction,NULL,NULL,NULL,POINT(85.4312982 27.6765998)
International Green Developers Nepal,attraction,info@gorkhaecopanel.com,5122026,http://gorkhaecopanel.com,POINT(85.4428107 27.6670906)
Trisuldanda,attraction,NULL,NULL,NULL,POINT(85.4543074 27.7105508)
NULL,attraction,NULL,NULL,NULL,POINT(85.3884919 27.6820845)
NULL,attraction,NULL,NULL,NULL,POINT(85.5214208 27.7206449)
NULL,attraction,NULL,NULL,NULL,POINT(85.4046707 27.6435214)
NULL,attraction,noyel.amr@gmail.com,9867170004,http://noyelz.blogspot.com,POINT(85.3715638 27.6753224)
NULL,attraction,NULL,NULL,NULL,POINT(85.400804 27.6863679)
NULL,attraction,NULL,NULL,NULL,POINT(85.3971294 27.6854651)
Gankhu dharamapur dol,attraction,NULL,NULL,NULL,POINT(85.3947658 27.6861196)
NULL,attraction,NULL,NULL,NULL,POINT(85.5023611 27.7095432)
NULL,attraction,NULL,NULL,NULL,POINT(85.4689605 27.7155068)
NULL,attraction,NULL,016631320,NULL,POINT(85.3803012 27.6736941)
NULL,attraction,NULL,NULL,NULL,POINT(85.446673 27.6707971)
NULL,attraction,NULL,NULL,NULL,POINT(85.3937222 27.6871925)
NULL,attraction,NULL,NULL,NULL,POINT(85.393721 27.6876048)
Changunarayan,attraction,NULL,NULL,NULL,POINT(85.428356 27.7162258)
NULL,attraction,NULL,NULL,NULL,POINT(85.3856611 27.676574)
Balkumari Temple,attraction,NULL,NULL,NULL,POINT(85.3853144 27.6759475)
Dhungedhara,attraction,NULL,NULL,NULL,POINT(85.3850274 27.6747147)
Siwa Tole,attraction,NULL,NULL,NULL,POINT(85.3867212 27.6777491)
Nigu Pukhu,attraction,NULL,NULL,NULL,POINT(85.3856376 27.678356)
NULL,attraction,NULL,NULL,NULL,POINT(85.4839759 27.7088916)
