name,tourism,email,phone,website,coordinates
Jyapu Niwas,attraction,NULL,NULL,NULL,POINT(85.3350586 27.6825671)
NULL,attraction,NULL,NULL,NULL,POINT(85.3012535 27.7640022)
Shankhapura Paragliding Take off site,attraction,NULL,NULL,NULL,POINT(85.501957 27.7751432)
Anup Home,attraction,NULL,NULL,NULL,POINT(85.2530693 27.6852451)
Er. Abeey Poudel Flat,attraction,getme_max@hotmail.com,+9779851055745,www.buildup.com.np,POINT(85.3397631 27.7492953)
Manamaiju Ajima Mai Temple,attraction,NULL,NULL,NULL,POINT(85.3121403 27.7520771)
S-Style Dance Institute,attraction,NULL,NULL,NULL,POINT(85.282051 27.6932073)
Club Galaxy,attraction,NULL,NULL,NULL,POINT(85.2778476 27.6912275)
Noyel House,attraction,noyel.amr@gmail.com,9867170004,http://noyelz.blogspot.com,POINT(85.3452556 27.6735715)
"Nilopul, Sukedhara",attraction,NULL,NULL,NULL,POINT(85.3494489 27.7313342)
Florid human resources,attraction,NULL,NULL,NULL,POINT(85.3320967 27.6909767)
Incessant Rain Animation Studio,attraction,NULL,014302445,https://www.incessantrain.com/,POINT(85.2970221 27.7038178)
NULL,attraction,NULL,NULL,NULL,POINT(85.472614 27.7176395)
वसन्तपुर दरबार क्षेत्र,attraction,NULL,NULL,NULL,POINT(85.3069725 27.7045198)
Jorpati Main Road,attraction,NULL,NULL,NULL,POINT(85.3726342 27.7219112)
NULL,attraction,NULL,9808395336,NULL,POINT(85.2329982 27.6757969)
NULL,attraction,NULL,NULL,NULL,POINT(85.5154378 27.731879)
पशुपतीनाथ,attraction,NULL,NULL,NULL,POINT(85.3487444 27.7105652)
NULL,attraction,NULL,NULL,NULL,POINT(85.3191063 27.7366879)
Scarf of life,attraction,NULL,NULL,NULL,POINT(85.3122221 27.7112735)
NULL,attraction,shangrilacashmere@gmail.com,+9774370776,http://shangrilacashmere.com,POINT(85.3540069 27.7465803)
Hyumat,attraction,NULL,NULL,NULL,POINT(85.3039574 27.6994087)
NULL,attraction,NULL,NULL,NULL,POINT(85.3290088 27.7560092)
NULL,attraction,NULL,NULL,NULL,POINT(85.2807383 27.6940828)
NULL,attraction,NULL,NULL,NULL,POINT(85.2855631 27.6973407)
NULL,attraction,NULL,NULL,NULL,POINT(85.3547341 27.7296379)
NULL,attraction,NULL,NULL,NULL,POINT(85.3640305 27.7797535)
NULL,attraction,NULL,NULL,NULL,POINT(85.2813053 27.7567213)
NULL,attraction,NULL,NULL,NULL,POINT(85.3314464 27.724969)
NULL,attraction,NULL,NULL,NULL,POINT(85.3181187 27.7503466)
NULL,attraction,mail@prizmadigital.com,9861288314,https://www.prizmadigital.com/,POINT(85.3352484 27.7198217)
NULL,attraction,NULL,NULL,NULL,POINT(85.3744119 27.6974354)
NULL,attraction,sharmabhuahan@hotmail.com,9841265920,NULL,POINT(85.3230087 27.7060516)
NULL,attraction,NULL,NULL,NULL,POINT(85.3569518 27.7840553)
NULL,attraction,www.road2model@gmail.com,9779860712637,http://www.road2model.com,POINT(85.3500226 27.689279)
NULL,attraction,NULL,NULL,NULL,POINT(85.2882238 27.7198431)
NULL,attraction,NULL,NULL,NULL,POINT(85.2580172 27.6368202)
NULL,attraction,NULL,NULL,NULL,POINT(85.2969186 27.76813)
NULL,attraction,NULL,NULL,https://www.himelectronics.com/,POINT(85.3249789 27.7154193)
NULL,attraction,NULL,NULL,NULL,POINT(85.2974537 27.7242385)
NULL,attraction,NULL,NULL,NULL,POINT(85.3217052 27.6883076)
NULL,attraction,bhandariashish1997@gmail.com,NULL,https://www.destinationmanagementinc.com/,POINT(85.2946422 27.7489803)
NULL,attraction,NULL,NULL,NULL,POINT(85.3451523 27.7038262)
NULL,attraction,NULL,NULL,NULL,POINT(85.296755 27.7130366)
NULL,attraction,NULL,NULL,NULL,POINT(85.2999765 27.743785)
NULL,attraction,NULL,NULL,NULL,POINT(85.3322358 27.6841114)
NULL,attraction,NULL,NULL,NULL,POINT(85.3712333 27.7187173)
NULL,attraction,NULL,NULL,NULL,POINT(85.3533161 27.6944229)
NULL,attraction,NULL,NULL,NULL,POINT(85.3409352 27.7464017)
Nagpokhari,attraction,NULL,NULL,NULL,POINT(85.324369 27.713488)
NULL,attraction,NULL,NULL,NULL,POINT(85.3296136 27.7004289)
NULL,attraction,NULL,NULL,NULL,POINT(85.3485618 27.7200627)
NULL,attraction,info@vape977.com,9851299996,https://www.vape977.com/,POINT(85.31163 27.721136)
NULL,attraction,NULL,NULL,NULL,POINT(85.3228409 27.7056025)
NULL,attraction,NULL,NULL,NULL,POINT(85.3402447 27.7014812)
NULL,attraction,NULL,NULL,NULL,POINT(85.3579316 27.7587043)
NULL,attraction,NULL,NULL,NULL,POINT(85.3618807 27.7206893)
NULL,attraction,NULL,NULL,NULL,POINT(85.3697527 27.7239102)
NULL,attraction,NULL,NULL,NULL,POINT(85.4055242 27.7205469)
NULL,attraction,mrnischallamichhane@gmail.com,015106377,NULL,POINT(85.3011723 27.789944)
NULL,attraction,NULL,NULL,NULL,POINT(85.2832512 27.6926344)
NULL,attraction,NULL,NULL,NULL,POINT(85.3110329 27.7105785)
NULL,attraction,NULL,NULL,NULL,POINT(85.3430933 27.6814004)
Thamel Chowk,attraction,NULL,NULL,NULL,POINT(85.3113761 27.7143416)
NULL,attraction,NULL,NULL,NULL,POINT(85.349554 27.7128514)
NULL,attraction,NULL,NULL,NULL,POINT(85.2820427 27.687507)
NULL,attraction,NULL,NULL,NULL,POINT(85.2885761 27.7156735)
NULL,attraction,NULL,NULL,NULL,POINT(85.3099876 27.6994339)
City motorbike,attraction,NULL,NULL,NULL,POINT(85.3098672 27.7118564)
NULL,attraction,NULL,NULL,NULL,POINT(85.3054059 27.7014725)
NULL,attraction,NULL,NULL,NULL,POINT(85.3319459 27.6989821)
NULL,attraction,NULL,NULL,NULL,POINT(85.3094481 27.7172087)
NULL,attraction,NULL,NULL,NULL,POINT(85.2783182 27.7004162)
NULL,attraction,NULL,NULL,NULL,POINT(85.2791966 27.6998559)
NULL,attraction,NULL,NULL,NULL,POINT(85.279123 27.7005042)
HUB,attraction,NULL,+977 9801123401,NULL,POINT(85.3124162 27.713693)
NULL,attraction,NULL,NULL,NULL,POINT(85.3452825 27.6938622)
NULL,attraction,NULL,NULL,NULL,POINT(85.3352649 27.6862558)
Budhanikantha entry gate,attraction,NULL,NULL,NULL,POINT(85.3622183 27.7768839)
NULL,attraction,NULL,NULL,NULL,POINT(85.3083226 27.7043742)
NULL,attraction,NULL,NULL,NULL,POINT(85.3075388 27.7042318)
NULL,attraction,NULL,NULL,NULL,POINT(85.3078364 27.7042621)
NULL,attraction,NULL,NULL,NULL,POINT(85.3078016 27.7040078)
NULL,attraction,NULL,NULL,NULL,POINT(85.3118785 27.7334633)
NULL,attraction,NULL,NULL,NULL,POINT(85.3605848 27.7783303)
NULL,attraction,NULL,NULL,NULL,POINT(85.3922872 27.8147464)
Gokarna Mahadev Temple,attraction,NULL,NULL,NULL,POINT(85.3880833 27.7396087)
Boudha Stupa,attraction,NULL,NULL,NULL,POINT(85.3620735 27.7218093)
NULL,attraction,NULL,NULL,NULL,POINT(85.3399414 27.7398659)
NULL,attraction,NULL,NULL,NULL,POINT(85.3083304 27.7066603)
Rani Pokhari,attraction,NULL,NULL,NULL,POINT(85.3153148 27.7078115)
NULL,attraction,NULL,NULL,NULL,POINT(85.3072586 27.7058627)
NULL,attraction,NULL,NULL,NULL,POINT(85.2139823 27.689051)
NULL,attraction,NULL,NULL,NULL,POINT(85.384938 27.7307726)
NULL,attraction,NULL,NULL,NULL,POINT(85.3846765 27.7310829)
Mohan Chok,attraction,NULL,NULL,NULL,POINT(85.3075665 27.7045724)
Indra Chok,attraction,NULL,NULL,NULL,POINT(85.3096118 27.7060235)
NULL,attraction,NULL,NULL,NULL,POINT(85.2616286 27.7150797)
HUB,attraction,NULL,NULL,NULL,POINT(85.3123826 27.7134398)
NULL,attraction,NULL,NULL,NULL,POINT(85.3907821 27.8108557)
NULL,attraction,NULL,NULL,NULL,POINT(85.3844202 27.8122424)
NULL,attraction,NULL,NULL,NULL,POINT(85.2499903 27.6692871)
NULL,attraction,NULL,NULL,NULL,POINT(85.3069136 27.70344)
NULL,attraction,NULL,NULL,NULL,POINT(85.3821446 27.7822923)
Heaven Himalaya,attraction,info@heavenhimalaya.com,01-4357403,https://www.heavenhimalaya.com/,POINT(85.3050638 27.7194155)
NULL,attraction,NULL,NULL,NULL,POINT(85.2793364 27.7034776)
Siwangi Pradhan,attraction,NULL,NULL,NULL,POINT(85.331411 27.7169029)
NULL,attraction,NULL,NULL,NULL,POINT(85.27298 27.6199837)
NULL,attraction,NULL,NULL,NULL,POINT(85.2713509 27.6892587)
NULL,attraction,NULL,NULL,NULL,POINT(85.1993373 27.7078885)
NULL,attraction,NULL,NULL,NULL,POINT(85.3112875 27.709311)
NULL,attraction,NULL,NULL,NULL,POINT(85.2929885 27.7144457)
NULL,attraction,NULL,NULL,NULL,POINT(85.3699447 27.7340348)
