name,tourism,email,phone,website,coordinates
Jyapu Niwas,attraction,NULL,NULL,NULL,POINT(85.3350586 27.6825671)
Lion statue,attraction,NULL,NULL,NULL,POINT(85.42898 27.6721039)
Tallest Statue of Shiva,attraction,NULL,NULL,NULL,POINT(85.4742062 27.6460823)
Statue of Sleeping Narayan,attraction,NULL,NULL,NULL,POINT(85.4312982 27.6765998)
पाटन दरवार क्षेत्र,attraction,NULL,NULL,NULL,POINT(85.3250562 27.6733988)
Er. Abeey Poudel Flat,attraction,getme_max@hotmail.com,+9779851055745,www.buildup.com.np,POINT(85.3397631 27.7492953)
Manamaiju Ajima Mai Temple,attraction,NULL,NULL,NULL,POINT(85.3121403 27.7520771)
S-Style Dance Institute,attraction,NULL,NULL,NULL,POINT(85.282051 27.6932073)
Club Galaxy,attraction,NULL,NULL,NULL,POINT(85.2778476 27.6912275)
Noyel House,attraction,noyel.amr@gmail.com,9867170004,http://noyelz.blogspot.com,POINT(85.3452556 27.6735715)
"Nilopul, Sukedhara",attraction,NULL,NULL,NULL,POINT(85.3494489 27.7313342)
International Green Developers Nepal,attraction,info@gorkhaecopanel.com,5122026,http://gorkhaecopanel.com,POINT(85.4428107 27.6670906)
Barpipal,attraction,NULL,NULL,NULL,POINT(85.3894192 27.6327089)
Dey Pukhu,attraction,NULL,NULL,NULL,POINT(85.2982033 27.6360023)
Khaa Pukhu,attraction,NULL,NULL,NULL,POINT(85.3005298 27.6362434)
Jitapur Gandhakuti Vihar,attraction,NULL,NULL,NULL,POINT(85.2994751 27.6354367)
Trisuldanda,attraction,NULL,NULL,NULL,POINT(85.4543074 27.7105508)
NULL,attraction,NULL,NULL,NULL,POINT(85.3049255 27.6526752)
Florid human resources,attraction,NULL,NULL,NULL,POINT(85.3320967 27.6909767)
Incessant Rain Animation Studio,attraction,NULL,014302445,https://www.incessantrain.com/,POINT(85.2970221 27.7038178)
NULL,attraction,NULL,NULL,NULL,POINT(85.472614 27.7176395)
वसन्तपुर दरबार क्षेत्र,attraction,NULL,NULL,NULL,POINT(85.3069725 27.7045198)
NULL,attraction,NULL,NULL,NULL,POINT(85.3884919 27.6820845)
Jorpati Main Road,attraction,NULL,NULL,NULL,POINT(85.3726342 27.7219112)
NULL,attraction,NULL,NULL,NULL,POINT(85.5214208 27.7206449)
NULL,attraction,NULL,NULL,NULL,POINT(85.5154378 27.731879)
पशुपतीनाथ,attraction,NULL,NULL,NULL,POINT(85.3487444 27.7105652)
NULL,attraction,NULL,NULL,NULL,POINT(85.3191063 27.7366879)
Scarf of life,attraction,NULL,NULL,NULL,POINT(85.3122221 27.7112735)
NULL,attraction,NULL,NULL,NULL,POINT(85.3090695 27.6779155)
NULL,attraction,NULL,NULL,NULL,POINT(85.4773779 27.6419507)
NULL,attraction,shangrilacashmere@gmail.com,+9774370776,http://shangrilacashmere.com,POINT(85.3540069 27.7465803)
Hyumat,attraction,NULL,NULL,NULL,POINT(85.3039574 27.6994087)
NULL,attraction,NULL,NULL,NULL,POINT(85.3298433 27.6683922)
NULL,attraction,NULL,NULL,NULL,POINT(85.2807383 27.6940828)
NULL,attraction,NULL,NULL,NULL,POINT(85.2855631 27.6973407)
NULL,attraction,NULL,NULL,NULL,POINT(85.3547341 27.7296379)
Go Kart,attraction,NULL,NULL,NULL,POINT(85.3026952 27.6787978)
NULL,attraction,NULL,NULL,NULL,POINT(85.4046707 27.6435214)
NULL,attraction,NULL,NULL,NULL,POINT(85.3314464 27.724969)
NULL,attraction,NULL,9818855866,NULL,POINT(85.3011892 27.6748629)
NULL,attraction,NULL,NULL,NULL,POINT(85.3181187 27.7503466)
NULL,attraction,mail@prizmadigital.com,9861288314,https://www.prizmadigital.com/,POINT(85.3352484 27.7198217)
NULL,attraction,NULL,NULL,NULL,POINT(85.3744119 27.6974354)
NULL,attraction,sharmabhuahan@hotmail.com,9841265920,NULL,POINT(85.3230087 27.7060516)
NULL,attraction,www.road2model@gmail.com,9779860712637,http://www.road2model.com,POINT(85.3500226 27.689279)
NULL,attraction,NULL,NULL,NULL,POINT(85.3133458 27.6467447)
NULL,attraction,NULL,NULL,NULL,POINT(85.2882238 27.7198431)
NULL,attraction,NULL,NULL,NULL,POINT(85.2580172 27.6368202)
NULL,attraction,NULL,NULL,https://www.himelectronics.com/,POINT(85.3249789 27.7154193)
NULL,attraction,NULL,NULL,NULL,POINT(85.3004755 27.6358912)
NULL,attraction,info@rlc.com.np,+9779849592016,https://rlc.com.np/,POINT(85.3206349 27.6707842)
NULL,attraction,NULL,NULL,NULL,POINT(85.305339 27.655847)
NULL,attraction,NULL,NULL,NULL,POINT(85.2974537 27.7242385)
NULL,attraction,NULL,NULL,NULL,POINT(85.3217052 27.6883076)
