name,tourism,email,phone,website,coordinates
Nirvana Garden Hotel,hotel,NULL,NULL,NULL,"[85.3096875, 27.7127441]"
Dakshinkali Resort,hotel,NULL,NULL,NULL,"[85.2674087, 27.6069446]"
Family guesthouse,hotel,NULL,NULL,NULL,"[85.2641817, 27.6127139]"
Hotel Shanker,hotel,NULL,NULL,NULL,"[85.3199249, 27.7189329]"
NULL,viewpoint,NULL,NULL,NULL,"[85.3492969, 27.7101439]"
Tibet Peace Guest House,guest_house,tpghouse@wlink.com.np,+97714381026,https://www.tibetpeace.com/,"[85.3088723, 27.7179328]"
International Guesthouse,guest_house,NULL,NULL,http://www.ighouse.com/,"[85.3080357, 27.716056]"
Taishan Hotel,hotel,NULL,015902299,NULL,"[85.3117495, 27.7113111]"
Pilgrims Guest House,hotel,reservation@pilgrimsguesthouse.com,9841390883,http://www.pilgrimsguesthouse.com/,"[85.3115799, 27.717619]"
Avalon House,hotel,NULL,NULL,NULL,"[85.3115107, 27.7187929]"
Kumari Hotel,hotel,NULL,NULL,NULL,"[85.3112966, 27.7152564]"
Hotel Manang,hotel,sales@hotelmanang.com,9851052685,NULL,"[85.3101198, 27.7177391]"
Kathmandu Grand Hotel,hotel,kathmandugrandhotel@gmail.com,+97714701483,https://www.kathmandugrandhotel.com,"[85.3101949, 27.7173404]"
Marshyangdi Hotel,hotel,sales@hotelmarshyangdi.com,9851057618,NULL,"[85.3101629, 27.7170604]"
Tradition,hotel,NULL,NULL,NULL,"[85.3091972, 27.7155417]"
Lailai Hotel,hotel,NULL,NULL,NULL,"[85.306275, 27.7099108]"
Ganesh Himal Hotel,hotel,info@hotelganeshhimal.com,9851058569,NULL,"[85.3065477, 27.7098396]"
Potala Guesthouse,hotel,NULL,NULL,http://www.potalaguesthouse.com/,"[85.310626, 27.7122773]"
NULL,information,NULL,NULL,NULL,"[85.347173, 27.7057634]"
Hotel Lama,hotel,NULL,NULL,NULL,"[85.4981579, 27.7639353]"
Excelsior Hotel,hotel,NULL,+97714257748,http://www.excelsiornepal.com,"[85.3105455, 27.7145164]"
Vaishali,hotel,info@hotelvaishali.com,9851043479,NULL,"[85.3111787, 27.7166119]"
Surya,hotel,NULL,NULL,NULL,"[85.311547, 27.7154882]"
Namaskar,guest_house,NULL,NULL,NULL,"[85.3112782, 27.7161924]"
Iceland,hotel,NULL,NULL,NULL,"[85.3101463, 27.7164382]"
Impala,hotel,NULL,NULL,NULL,"[85.3101951, 27.7175447]"
Karma,hotel,NULL,NULL,NULL,"[85.3109255, 27.7163128]"
Thara,hotel,NULL,NULL,NULL,"[85.3112618, 27.7124799]"
Poon Hill,hotel,NULL,NULL,NULL,"[85.3090587, 27.7115695]"
Hotel Blue Diamond,hotel,NULL,NULL,NULL,"[85.3120896, 27.7123764]"
Pisang,hotel,NULL,NULL,NULL,"[85.3110456, 27.7129315]"
Lhasa,guest_house,NULL,NULL,NULL,"[85.3120405, 27.7118221]"
Utse,hotel,NULL,NULL,http://www.utsehotel.com,"[85.3122725, 27.7121432]"
Yanki,hotel,NULL,NULL,NULL,"[85.3090654, 27.7118116]"
Norling Guesthouse,guest_house,NULL,NULL,NULL,"[85.3111012, 27.7104358]"
My Home,hotel,NULL,NULL,NULL,"[85.3110593, 27.7130291]"
Hotel Elite,hotel,NULL,NULL,NULL,"[85.312051, 27.7109599]"
Norling,hotel,NULL,NULL,NULL,"[85.3122679, 27.7123965]"
Annapurna,guest_house,NULL,NULL,NULL,"[85.312673, 27.7173881]"
यती,hotel,NULL,NULL,NULL,"[85.3136584, 27.7164231]"
शक्ति,hotel,NULL,NULL,NULL,"[85.3129529, 27.7167364]"
Samsara Resort,hotel,NULL,NULL,NULL,"[85.3109242, 27.7168609]"
Hotel Dolphin,guest_house,hoteldolphinguesthouse@gmail.com,NULL,NULL,"[85.3121267, 27.7173793]"
Laughing Buddha Home,hotel,NULL,NULL,NULL,"[85.3111977, 27.7174783]"
Hotel Norbulinka,hotel,reservation@hotelnorbulinka.com,9802063088;9851082923,NULL,"[85.3124959, 27.7172551]"
Mandap,hotel,NULL,NULL,NULL,"[85.3098996, 27.7162296]"
Zzang,hotel,NULL,NULL,NULL,"[85.3106935, 27.7175115]"
भिल्ला एभरेस्ट,hotel,NULL,4413471,http://www.villaeverest.com.np,"[85.3130629, 27.7170023]"
Holy Lodge,hotel,NULL,NULL,NULL,"[85.3097549, 27.7158876]"
Acme Guest House,hotel,acme@wlink.com.np,9851076293,NULL,"[85.3106242, 27.7158262]"
Prince,hotel,NULL,NULL,NULL,"[85.3098144, 27.7157449]"
Northfield Hotel,hotel,NULL,NULL,NULL,"[85.3103243, 27.7158128]"
ACAP Office,information,NULL,NULL,NULL,"[85.3169983, 27.7020475]"
Radisson Hotel Kathmandu,hotel,reservation@radkat.com.np; radisson@radkat.com.np; sales@radkat.com.np,+977 1-4411818,https://www.radisson.com/kathmandu,"[85.3214693, 27.7200685]"
Hotel Yambu,hotel,rajbktm@gmail.com,9841326314,http://www.hotelyambu.com,"[85.3115829, 27.7177674]"
Haus Namaste,guest_house,NULL,NULL,NULL,"[85.2965534, 27.7050453]"
Kathmandu Peace Guest House;Tea & Souvenirs,hotel,NULL,NULL,http://www.hotel-in-nepal.com/,"[85.3107886, 27.7164834]"
Kharsang Guest House,guest_house,NULL,NULL,NULL,"[85.3099428, 27.7118852]"
NULL,artwork,NULL,NULL,NULL,"[85.3168295, 27.7302108]"
Khushi Khushi Hotel,hotel,NULL,NULL,NULL,"[85.244015, 27.6737123]"
Royal Mahendra Museum,museum,NULL,NULL,NULL,"[85.3077624, 27.7041214]"
Vibor Hotel,hotel,NULL,NULL,NULL,"[85.3439742, 27.7318305]"
Subekchya Hostel,hostel,NULL,NULL,NULL,"[85.333969, 27.6875866]"
Hotel Karnali,hotel,NULL,NULL,NULL,"[85.3379978, 27.7398257]"
Nac express global freight and logistics,information,NULL,NULL,NULL,"[85.3214436, 27.6996957]"
Sunrise Boys Hostel,hostel,NULL,NULL,NULL,"[85.3230965, 27.7023989]"
Nepal china society,information,NULL,NULL,NULL,"[85.3242197, 27.7022639]"
